Manufacturer,Model Number,QTY,ETA
Kraus,GV-100,0,11/25/2012
Kraus,GV-101-19mm,30,
Kraus,GV-101,30,
Kraus,GV-101-14,30,
Kraus,GV-150-19mm,30,
Kraus,GV-101FR,30,
Kraus,GV-101FR-14,30,
Kraus,GV-103,30,
Kraus,GV-103-14,30,
Kraus,GV-103FR,30,
Kraus,GV-103FR-14,30,
Kraus,GV-104,30,
Kraus,GV-104-14,10,
Kraus,GV-104FR,30,
Kraus,GV-104FR-14,30,
Kraus,GV-500,30,
Kraus,GV-500-14,30,
Kraus,GV-950,30,
Kraus,GVS-901-19mm,30,
Kraus,GVS-901FR-19mm,30,
Kraus,GVS-910-15mm,30,
Kraus,GVS-930-19mm,10,
Kraus,GVS-930FR-19mm,30,
Kraus,GV-200-19mm,30,
Kraus,GV-200,30,
Kraus,GV-200-14,0,Discontinued
Kraus,GVR-200-RE,0,Discontinued
Kraus,GV-204-19mm,0,Discontinued
Kraus,GV-204,20,
Kraus,GV-204-14,0,Discontinued
Kraus,GVR-204-RE,30,
Kraus,GVR-210-RE,30,
Kraus,GV-215,0,Discontinued
Kraus,GV-400,0,Discontinued
Kraus,GV-400-14,0,Discontinued
Kraus,GVR-400-RE,30,
Kraus,GV-410,15,
Kraus,GV-410-14,0,Discontinued
Kraus,GVR-410-RE,0,Discontinued
Kraus,GV-421-19mm,0,Discontinued
Kraus,GV-421,15,
Kraus,GVR-420-RE,30,
Kraus,GV-430,0,Discontinued
Kraus,GV-430-14,5,
Kraus,GVR-430-RE,0,Discontinued
Kraus,GV-450,0,Discontinued
Kraus,GV-450-14,0,Discontinued
Kraus,GV-570,30,
Kraus,GV-571-19mm,30,
Kraus,GV-580,0,11/5/2012
Kraus,GV-581,30,
Kraus,GV-600-19mm,30,
Kraus,GV-610-19mm,0,11/5/2012
Kraus,GV-620-17mm,30,
Kraus,GV-630-19mm,30,
Kraus,GV-650-19mm,10,
Kraus,GV-651,30,
Kraus,GV-700-19mm,25,
Kraus,GV-710,0,11/5/2012
Kraus,GV-100-CH,0,11/25/2012
Kraus,GV-100-SN,0,11/25/2012
Kraus,GV-100-ORB,0,11/25/2012
Kraus,GV-100-G,0,11/25/2012
Kraus,GV-101-19mm-CH,30,
Kraus,GV-101-19mm-SN,30,
Kraus,GV-101-19mm-AB,30,
Kraus,GV-101-19mm-ORB,30,
Kraus,GV-101-19mm-G,30,
Kraus,GV-101-CH,30,
Kraus,GV-101-SN,30,
Kraus,GV-101-AB,30,
Kraus,GV-101-ORB,30,
Kraus,GV-101-G,30,
Kraus,GV-101-14-CH,30,
Kraus,GV-101-14-SN,30,
Kraus,GV-101-14-AB,30,
Kraus,GV-101-14-ORB,30,
Kraus,GV-101-14-G,30,
Kraus,GV-150-19mm-CH,30,
Kraus,GV-150-19mm-SN,30,
Kraus,GV-150-19mm-AB,30,
Kraus,GV-150-19mm-ORB,30,
Kraus,GV-150-19mm-G,30,
Kraus,GV-101FR-CH,30,
Kraus,GV-101FR-SN,30,
Kraus,GV-101FR-AB,30,
Kraus,GV-101FR-ORB,30,
Kraus,GV-101FR-G,30,
Kraus,GV-101FR-14-CH,30,
Kraus,GV-101FR-14-SN,30,
Kraus,GV-101FR-14-AB,30,
Kraus,GV-101FR-14-ORB,30,
Kraus,GV-101FR-14-G,30,
Kraus,GV-103-CH,30,
Kraus,GV-103-SN,30,
Kraus,GV-103-AB,30,
Kraus,GV-103-ORB,30,
Kraus,GV-103-G,30,
Kraus,GV-103-14-CH,30,
Kraus,GV-103-14-SN,30,
Kraus,GV-103-14-AB,30,
Kraus,GV-103-14-ORB,30,
Kraus,GV-103-14-G,30,
Kraus,GV-103FR-CH,30,
Kraus,GV-103FR-SN,30,
Kraus,GV-103FR-AB,30,
Kraus,GV-103FR-ORB,30,
Kraus,GV-103FR-G,30,
Kraus,GV-103FR-14-CH,30,
Kraus,GV-103FR-14-SN,30,
Kraus,GV-103FR-14-AB,30,
Kraus,GV-103FR-14-ORB,30,
Kraus,GV-103FR-14-G,30,
Kraus,GV-104-CH,30,
Kraus,GV-104-SN,30,
Kraus,GV-104-AB,30,
Kraus,GV-104-ORB,30,
Kraus,GV-104-G,30,
Kraus,GV-104-14-CH,10,
Kraus,GV-104-14-SN,10,
Kraus,GV-104-14-AB,10,
Kraus,GV-104-14-ORB,10,
Kraus,GV-104-14-G,10,
Kraus,GV-104FR-CH,30,
Kraus,GV-104FR-SN,30,
Kraus,GV-104FR-AB,30,
Kraus,GV-104FR-ORB,30,
Kraus,GV-104FR-G,30,
Kraus,GV-104FR-14-CH,30,
Kraus,GV-104FR-14-SN,30,
Kraus,GV-104FR-14-AB,30,
Kraus,GV-104FR-14-ORB,30,
Kraus,GV-104FR-14-G,30,
Kraus,GV-500-CH,30,
Kraus,GV-500-SN,30,
Kraus,GV-500-AB,30,
Kraus,GV-500-ORB,30,
Kraus,GV-500-G,30,
Kraus,GV-500-14-CH,30,
Kraus,GV-500-14-SN,30,
Kraus,GV-500-14-AB,30,
Kraus,GV-500-14-ORB,30,
Kraus,GV-500-14-G,30,
Kraus,GV-950-CH,30,
Kraus,GV-950-SN,30,
Kraus,GV-950-AB,30,
Kraus,GV-950-ORB,30,
Kraus,GV-950-G,30,
Kraus,GVS-901-19mm-CH,30,
Kraus,GVS-901-19mm-SN,30,
Kraus,GVS-901-19mm-AB,30,
Kraus,GVS-901-19mm-ORB,30,
Kraus,GVS-901-19mm-G,30,
Kraus,GVS-901FR-19mm-CH,30,
Kraus,GVS-901FR-19mm-SN,30,
Kraus,GVS-901FR-19mm-AB,30,
Kraus,GVS-901FR-19mm-ORB,30,
Kraus,GVS-901FR-19mm-G,30,
Kraus,GVS-910-15mm-CH,30,
Kraus,GVS-910-15mm-SN,30,
Kraus,GVS-910-15mm-AB,30,
Kraus,GVS-910-15mm-ORB,30,
Kraus,GVS-910-15mm-G,30,
Kraus,GVS-930-19mm-CH,10,
Kraus,GVS-930-19mm-SN,10,
Kraus,GVS-930-19mm-AB,10,
Kraus,GVS-930-19mm-ORB,10,
Kraus,GVS-930-19mm-G,10,
Kraus,GVS-930FR-19mm-CH,30,
Kraus,GVS-930FR-19mm-SN,30,
Kraus,GVS-930FR-19mm-AB,30,
Kraus,GVS-930FR-19mm-ORB,30,
Kraus,GVS-930FR-19mm-G,30,
Kraus,GV-200-19mm-CH,30,
Kraus,GV-200-19mm-SN,30,
Kraus,GV-200-19mm-AB,30,
Kraus,GV-200-19mm-ORB,30,
Kraus,GV-200-19mm-G,30,
Kraus,GV-200-CH,30,
Kraus,GV-200-SN,30,
Kraus,GV-200-AB,30,
Kraus,GV-200-ORB,30,
Kraus,GV-200-G,30,
Kraus,GV-200-14-CH,0,Discontinued
Kraus,GV-200-14-SN,0,Discontinued
Kraus,GV-200-14-AB,0,Discontinued
Kraus,GV-200-14-ORB,0,Discontinued
Kraus,GV-200-14-G,0,Discontinued
Kraus,GVR-200-RE-CH,0,Discontinued
Kraus,GVR-200-RE-SN,0,Discontinued
Kraus,GVR-200-RE-AB,0,Discontinued
Kraus,GVR-200-RE-ORB,0,Discontinued
Kraus,GVR-200-RE-G,0,Discontinued
Kraus,GV-204-19mm-CH,0,Discontinued
Kraus,GV-204-19mm-SN,0,Discontinued
Kraus,GV-204-19mm-AB,0,Discontinued
Kraus,GV-204-19mm-ORB,0,Discontinued
Kraus,GV-204-19mm-G,0,Discontinued
Kraus,GV-204-CH,20,
Kraus,GV-204-SN,20,
Kraus,GV-204-AB,20,
Kraus,GV-204-ORB,20,
Kraus,GV-204-G,20,
Kraus,GV-204-14-CH,0,Discontinued
Kraus,GV-204-14-SN,0,Discontinued
Kraus,GV-204-14-AB,0,Discontinued
Kraus,GV-204-14-ORB,0,Discontinued
Kraus,GV-204-14-G,0,Discontinued
Kraus,GVR-204-RE-CH,30,
Kraus,GVR-204-RE-SN,30,
Kraus,GVR-204-RE-AB,30,
Kraus,GVR-204-RE-ORB,30,
Kraus,GVR-204-RE-G,30,
Kraus,GVR-210-RE-CH,30,
Kraus,GVR-210-RE-SN,30,
Kraus,GVR-210-RE-AB,30,
Kraus,GVR-210-RE-ORB,30,
Kraus,GVR-210-RE-G,30,
Kraus,GV-215-CH,0,Discontinued
Kraus,GV-215-SN,0,Discontinued
Kraus,GV-215-ORB,0,Discontinued
Kraus,GV-215-G,0,Discontinued
Kraus,GV-400-CH,0,Discontinued
Kraus,GV-400-SN,0,Discontinued
Kraus,GV-400-AB,0,Discontinued
Kraus,GV-400-ORB,0,Discontinued
Kraus,GV-400-G,0,Discontinued
Kraus,GV-400-14-CH,0,Discontinued
Kraus,GV-400-14-SN,0,Discontinued
Kraus,GV-400-14-AB,0,Discontinued
Kraus,GV-400-14-ORB,0,Discontinued
Kraus,GV-400-14-G,0,Discontinued
Kraus,GVR-400-RE-CH,30,
Kraus,GVR-400-RE-SN,30,
Kraus,GVR-400-RE-AB,30,
Kraus,GVR-400-RE-ORB,30,
Kraus,GVR-400-RE-G,30,
Kraus,GV-410-CH,15,
Kraus,GV-410-SN,15,
Kraus,GV-410-AB,15,
Kraus,GV-410-ORB,15,
Kraus,GV-410-G,15,
Kraus,GV-410-14-CH,0,Discontinued
Kraus,GV-410-14-SN,0,Discontinued
Kraus,GV-410-14-AB,0,Discontinued
Kraus,GV-410-14-ORB,0,Discontinued
Kraus,GV-410-14-G,0,Discontinued
Kraus,GVR-410-RE-CH,0,Discontinued
Kraus,GVR-410-RE-SN,0,Discontinued
Kraus,GVR-410-RE-AB,0,Discontinued
Kraus,GVR-410-RE-ORB,0,Discontinued
Kraus,GVR-410-RE-G,0,Discontinued
Kraus,GV-421-19mm-CH,0,Discontinued
Kraus,GV-421-19mm-SN,0,Discontinued
Kraus,GV-421-19mm-AB,0,Discontinued
Kraus,GV-421-19mm-ORB,0,Discontinued
Kraus,GV-421-19mm-G,0,Discontinued
Kraus,GV-421-CH,15,
Kraus,GV-421-SN,15,
Kraus,GV-421-AB,15,
Kraus,GV-421-ORB,15,
Kraus,GV-421-G,15,
Kraus,GVR-420-RE-CH,30,
Kraus,GVR-420-RE-SN,30,
Kraus,GVR-420-RE-AB,30,
Kraus,GVR-420-RE-ORB,30,
Kraus,GVR-420-RE-G,30,
Kraus,GV-430-CH,0,Discontinued
Kraus,GV-430-SN,0,Discontinued
Kraus,GV-430-AB,0,Discontinued
Kraus,GV-430-ORB,0,Discontinued
Kraus,GV-430-G,0,Discontinued
Kraus,GV-430-14-CH,5,
Kraus,GV-430-14-SN,5,
Kraus,GV-430-14-AB,5,
Kraus,GV-430-14-ORB,5,
Kraus,GV-430-14-G,5,
Kraus,GVR-430-RE-CH,0,Discontinued
Kraus,GVR-430-RE-SN,0,Discontinued
Kraus,GVR-430-RE-AB,0,Discontinued
Kraus,GVR-430-RE-ORB,0,Discontinued
Kraus,GVR-430-RE-G,0,Discontinued
Kraus,GV-450-CH,0,Discontinued
Kraus,GV-450-SN,0,Discontinued
Kraus,GV-450-AB,0,Discontinued
Kraus,GV-450-ORB,0,Discontinued
Kraus,GV-450-G,0,Discontinued
Kraus,GV-450-14-CH,0,Discontinued
Kraus,GV-450-14-SN,0,Discontinued
Kraus,GV-450-14-AB,0,Discontinued
Kraus,GV-450-14-ORB,0,Discontinued
Kraus,GV-450-14-G,0,Discontinued
Kraus,GV-570-CH,30,
Kraus,GV-570-SN,30,
Kraus,GV-570-ORB,30,
Kraus,GV-570-G,30,
Kraus,GV-571-19mm-CH,30,
Kraus,GV-571-19mm-SN,30,
Kraus,GV-571-19mm-ORB,30,
Kraus,GV-571-19mm-G,30,
Kraus,GV-580-CH,0,11/5/2012
Kraus,GV-580-SN,0,11/5/2012
Kraus,GV-580-AB,0,11/5/2012
Kraus,GV-580-ORB,0,11/5/2012
Kraus,GV-580-G,0,11/5/2012
Kraus,GV-581-CH,30,
Kraus,GV-581-SN,30,
Kraus,GV-581-AB,30,
Kraus,GV-581-ORB,30,
Kraus,GV-581-G,30,
Kraus,GV-600-19mm-CH,30,
Kraus,GV-600-19mm-SN,30,
Kraus,GV-600-19mm-AB,30,
Kraus,GV-600-19mm-ORB,30,
Kraus,GV-600-19mm-G,30,
Kraus,GV-610-19mm-CH,0,11/5/2012
Kraus,GV-610-19mm-SN,0,11/5/2012
Kraus,GV-610-19mm-AB,0,11/5/2012
Kraus,GV-610-19mm-ORB,0,11/5/2012
Kraus,GV-610-19mm-G,0,11/5/2012
Kraus,GV-620-17mm-CH,30,
Kraus,GV-620-17mm-SN,30,
Kraus,GV-620-17mm-AB,30,
Kraus,GV-620-17mm-ORB,30,
Kraus,GV-620-17mm-G,30,
Kraus,GV-630-19mm-CH,30,
Kraus,GV-630-19mm-SN,30,
Kraus,GV-630-19mm-AB,30,
Kraus,GV-630-19mm-ORB,30,
Kraus,GV-630-19mm-G,30,
Kraus,GV-650-19mm-CH,10,
Kraus,GV-650-19mm-SN,10,
Kraus,GV-650-19mm-AB,10,
Kraus,GV-650-19mm-ORB,10,
Kraus,GV-650-19mm-G,10,
Kraus,GV-651-CH,30,
Kraus,GV-651-SN,30,
Kraus,GV-651-AB,30,
Kraus,GV-651-ORB,30,
Kraus,GV-651-G,30,
Kraus,GV-700-19mm-CH,25,
Kraus,GV-700-19mm-SN,25,
Kraus,GV-700-19mm-AB,25,
Kraus,GV-700-19mm-ORB,25,
Kraus,GV-700-19mm-G,25,
Kraus,GV-710-CH,0,11/5/2012
Kraus,GV-710-SN,0,11/5/2012
Kraus,GV-710-ORB,0,11/5/2012
Kraus,GV-710-G,0,11/5/2012
Kraus,C-GV-100-12mm-10CH,0,11/25/2012
Kraus,C-GV-100-12mm-10SN,0,11/25/2012
Kraus,C-GV-100-12mm-10ORB,0,11/25/2012
Kraus,C-GV-100-12mm-10G,0,11/25/2012
Kraus,C-GV-100-12mm-1005CH,0,11/25/2012
Kraus,C-GV-100-12mm-1005SN,0,11/25/2012
Kraus,C-GV-100-12mm-1005ORB,0,11/25/2012
Kraus,C-GV-100-12mm-1800CH,0,11/25/2012
Kraus,C-GV-100-12mm-1810CH,0,11/25/2012
Kraus,C-GV-100-12mm-14300CH,0,11/25/2012
Kraus,C-GV-100-12mm-14600CH,0,11/25/2012
Kraus,C-GV-100-12mm-14700CH,0,11/25/2012
Kraus,C-GV-100-12mm-14800CH,0,1/1/2013
Kraus,C-GV-100-12mm-15000CH,0,11/25/2012
Kraus,C-GV-100-12mm-15000BN,0,11/25/2012
Kraus,C-GV-100-12mm-15000ORB,0,11/25/2012
Kraus,C-GV-100-12mm-15100CH,0,11/25/2012
Kraus,C-GV-100-12mm-15200CH,0,11/25/2012
Kraus,C-GV-100-12mm-15500CH,0,11/25/2012
Kraus,C-GV-100-12mm-15500BN,0,11/25/2012
Kraus,C-GV-101-19mm-10CH,30,
Kraus,C-GV-101-19mm-10SN,30,
Kraus,C-GV-101-19mm-10AB,0,Discontinued
Kraus,C-GV-101-19mm-10ORB,30,
Kraus,C-GV-101-19mm-10G,30,
Kraus,C-GV-101-19mm-1002CH,30,
Kraus,C-GV-101-19mm-1002SN,30,
Kraus,C-GV-101-19mm-1002AB,0,Discontinued
Kraus,C-GV-101-19mm-1002ORB,0,Discontinued
Kraus,C-GV-101-19mm-1005CH,30,
Kraus,C-GV-101-19mm-1005SN,30,
Kraus,C-GV-101-19mm-1005ORB,30,
Kraus,C-GV-101-19mm-1007CH,30,
Kraus,C-GV-101-19mm-1007SN,30,
Kraus,C-GV-101-19mm-1007AB,0,Discontinued
Kraus,C-GV-101-19mm-1007ORB,0,Discontinued
Kraus,C-GV-101-19mm-1100CH,0,Discontinued
Kraus,C-GV-101-19mm-1100SN,0,Discontinued
Kraus,C-GV-101-19mm-1200CH,0,Discontinued
Kraus,C-GV-101-19mm-1200SN,0,Discontinued
Kraus,C-GV-101-19mm-1300CH,30,
Kraus,C-GV-101-19mm-1300SN,30,
Kraus,C-GV-101-19mm-1300AB,0,Discontinued
Kraus,C-GV-101-19mm-1300ORB,0,Discontinued
Kraus,C-GV-101-19mm-1800CH,30,
Kraus,C-GV-101-19mm-1810CH,30,
Kraus,C-GV-101-19mm-2180,30,
Kraus,C-GV-101-19mm-14300CH,30,
Kraus,C-GV-101-19mm-14600CH,30,
Kraus,C-GV-101-19mm-14700CH,30,
Kraus,C-GV-101-19mm-14800CH,0,1/1/2013
Kraus,C-GV-101-19mm-15000CH,30,
Kraus,C-GV-101-19mm-15000BN,30,
Kraus,C-GV-101-19mm-15000ORB,30,
Kraus,C-GV-101-19mm-15100CH,30,
Kraus,C-GV-101-19mm-15200CH,30,
Kraus,C-GV-101-19mm-15500CH,30,
Kraus,C-GV-101-19mm-15500BN,30,
Kraus,C-GV-101-12mm-10CH,30,
Kraus,C-GV-101-12mm-10SN,30,
Kraus,C-GV-101-12mm-10AB,0,Discontinued
Kraus,C-GV-101-12mm-10ORB,30,
Kraus,C-GV-101-12mm-10G,30,
Kraus,C-GV-101-12mm-1002CH,30,
Kraus,C-GV-101-12mm-1002SN,30,
Kraus,C-GV-101-12mm-1002AB,0,Discontinued
Kraus,C-GV-101-12mm-1002ORB,0,Discontinued
Kraus,C-GV-101-12mm-1005CH,30,
Kraus,C-GV-101-12mm-1005SN,30,
Kraus,C-GV-101-12mm-1005ORB,30,
Kraus,C-GV-101-12mm-1007CH,30,
Kraus,C-GV-101-12mm-1007SN,30,
Kraus,C-GV-101-12mm-1007AB,0,Discontinued
Kraus,C-GV-101-12mm-1007ORB,0,Discontinued
Kraus,C-GV-101-12mm-1100CH,0,Discontinued
Kraus,C-GV-101-12mm-1100SN,0,Discontinued
Kraus,C-GV-101-12mm-1200CH,0,Discontinued
Kraus,C-GV-101-12mm-1200SN,0,Discontinued
Kraus,C-GV-101-12mm-1300CH,30,
Kraus,C-GV-101-12mm-1300SN,30,
Kraus,C-GV-101-12mm-1300AB,0,Discontinued
Kraus,C-GV-101-12mm-1300ORB,0,Discontinued
Kraus,C-GV-101-12mm-1800CH,30,
Kraus,C-GV-101-12mm-1810CH,30,
Kraus,C-GV-101-12mm-2180,30,
Kraus,C-GV-101-12mm-14300CH,30,
Kraus,C-GV-101-12mm-14600CH,30,
Kraus,C-GV-101-12mm-14700CH,30,
Kraus,C-GV-101-12mm-14800CH,0,1/1/2013
Kraus,C-GV-101-12mm-15000CH,30,
Kraus,C-GV-101-12mm-15000BN,30,
Kraus,C-GV-101-12mm-15000ORB,30,
Kraus,C-GV-101-12mm-15100CH,30,
Kraus,C-GV-101-12mm-15200CH,30,
Kraus,C-GV-101-12mm-15500CH,30,
Kraus,C-GV-101-12mm-15500BN,30,
Kraus,C-GV-101-14-12mm-10CH,30,
Kraus,C-GV-101-14-12mm-10SN,30,
Kraus,C-GV-101-14-12mm-10AB,0,Discontinued
Kraus,C-GV-101-14-12mm-10ORB,30,
Kraus,C-GV-101-14-12mm-10G,30,
Kraus,C-GV-101-14-12mm-1002CH,30,
Kraus,C-GV-101-14-12mm-1002SN,30,
Kraus,C-GV-101-14-12mm-1002AB,0,Discontinued
Kraus,C-GV-101-14-12mm-1002ORB,0,Discontinued
Kraus,C-GV-101-14-12mm-1005CH,30,
Kraus,C-GV-101-14-12mm-1005SN,30,
Kraus,C-GV-101-14-12mm-1005ORB,30,
Kraus,C-GV-101-14-12mm-1007CH,30,
Kraus,C-GV-101-14-12mm-1007SN,30,
Kraus,C-GV-101-14-12mm-1007AB,0,Discontinued
Kraus,C-GV-101-14-12mm-1007ORB,0,Discontinued
Kraus,C-GV-101-14-12mm-1300CH,30,
Kraus,C-GV-101-14-12mm-1300SN,30,
Kraus,C-GV-101-14-12mm-1300AB,0,Discontinued
Kraus,C-GV-101-14-12mm-1300ORB,0,Discontinued
Kraus,C-GV-101-14-12mm-1800CH,30,
Kraus,C-GV-101-14-12mm-1810CH,30,
Kraus,C-GV-150-19mm-10CH,30,
Kraus,C-GV-150-19mm-10SN,30,
Kraus,C-GV-150-19mm-10AB,0,Discontinued
Kraus,C-GV-150-19mm-10ORB,30,
Kraus,C-GV-150-19mm-10G,30,
Kraus,C-GV-150-19mm-1005CH,30,
Kraus,C-GV-150-19mm-1005SN,30,
Kraus,C-GV-150-19mm-1005ORB,30,
Kraus,C-GV-150-19mm-1800CH,30,
Kraus,C-GV-150-19mm-1810CH,30,
Kraus,C-GV-101FR-12mm-10CH,30,
Kraus,C-GV-101FR-12mm-10SN,30,
Kraus,C-GV-101FR-12mm-10AB,0,Discontinued
Kraus,C-GV-101FR-12mm-10ORB,30,
Kraus,C-GV-101FR-12mm-10G,30,
Kraus,C-GV-101FR-12mm-1002CH,30,
Kraus,C-GV-101FR-12mm-1002SN,30,
Kraus,C-GV-101FR-12mm-1002AB,0,Discontinued
Kraus,C-GV-101FR-12mm-1002ORB,0,Discontinued
Kraus,C-GV-101FR-12mm-1005CH,30,
Kraus,C-GV-101FR-12mm-1005SN,30,
Kraus,C-GV-101FR-12mm-1005ORB,30,
Kraus,C-GV-101FR-12mm-1007CH,30,
Kraus,C-GV-101FR-12mm-1007SN,30,
Kraus,C-GV-101FR-12mm-1007AB,0,Discontinued
Kraus,C-GV-101FR-12mm-1007ORB,0,Discontinued
Kraus,C-GV-101FR-12mm-1100CH,0,Discontinued
Kraus,C-GV-101FR-12mm-1100SN,0,Discontinued
